response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0417
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.0413
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0417
0.0074,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.0417
0.0073,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0418
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.0422
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.0446
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0445
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0450
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0446
0.0073,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0439
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0445
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0446
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0446
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0445
0.0078,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.0434
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0446
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.0446
0.0095,0.0000,0.0000,0.0000,0.0094,0.0000,200,0.0435
0.0084,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.0446
0.0086,0.0000,0.0000,0.0000,0.0085,0.0000,200,0.0445
0.0091,0.0000,0.0000,0.0000,0.0091,0.0000,200,0.0440
0.0097,0.0000,0.0000,0.0000,0.0096,0.0000,200,0.0434
0.0097,0.0000,0.0000,0.0000,0.0097,0.0000,200,0.0434
0.0092,0.0000,0.0000,0.0000,0.0089,0.0003,200,0.0447
0.0095,0.0000,0.0000,0.0000,0.0092,0.0003,200,0.0444
0.0103,0.0000,0.0000,0.0000,0.0098,0.0004,200,0.0439
0.0107,0.0000,0.0000,0.0000,0.0096,0.0011,200,0.0439
0.0099,0.0000,0.0000,0.0000,0.0099,0.0000,200,0.0449
0.0102,0.0000,0.0000,0.0000,0.0101,0.0001,200,0.0446
0.0046,0.0000,0.0000,0.0000,0.0045,0.0001,200,0.0522
0.0047,0.0000,0.0000,0.0000,0.0046,0.0000,200,0.0521
0.0046,0.0000,0.0000,0.0000,0.0045,0.0000,200,0.0522
0.0046,0.0000,0.0000,0.0000,0.0045,0.0000,200,0.0523
0.0048,0.0000,0.0000,0.0000,0.0048,0.0000,200,0.0520
0.0046,0.0000,0.0000,0.0000,0.0045,0.0000,200,0.0523
0.0046,0.0000,0.0000,0.0000,0.0046,0.0000,200,0.0522
0.0039,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.0530
0.0049,0.0000,0.0000,0.0000,0.0048,0.0000,200,0.0520
0.0047,0.0000,0.0000,0.0000,0.0047,0.0000,200,0.0522
0.0048,0.0000,0.0000,0.0000,0.0047,0.0000,200,0.0521
0.0047,0.0000,0.0000,0.0000,0.0046,0.0000,200,0.0522
0.0037,0.0000,0.0000,0.0000,0.0037,0.0000,200,0.0532
0.0046,0.0000,0.0000,0.0002,0.0043,0.0001,200,0.0539
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.0522
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0522
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0522
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0522
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0521
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0521
0.0069,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0520
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.0521
0.0060,0.0000,0.0000,0.0002,0.0057,0.0000,200,0.0539
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0531
0.0070,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0531
0.0081,0.0000,0.0000,0.0020,0.0061,0.0000,200,0.0521
0.0089,0.0000,0.0000,0.0000,0.0088,0.0000,200,0.0522
0.0090,0.0000,0.0000,0.0000,0.0090,0.0000,200,0.0521
0.0090,0.0000,0.0000,0.0006,0.0064,0.0000,200,0.0522
0.0082,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0530
0.0092,0.0000,0.0000,0.0000,0.0091,0.0000,200,0.0521
0.0083,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0531
0.0098,0.0000,0.0000,0.0000,0.0097,0.0000,200,0.0521
0.0102,0.0000,0.0000,0.0000,0.0102,0.0001,200,0.0521
0.0102,0.0000,0.0000,0.0000,0.0102,0.0000,200,0.0522
0.0104,0.0000,0.0000,0.0000,0.0103,0.0000,200,0.0521
0.0103,0.0000,0.0000,0.0000,0.0102,0.0000,200,0.0522
0.0102,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.0523
0.0103,0.0000,0.0000,0.0000,0.0103,0.0000,200,0.0522
0.0103,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.0522
0.0105,0.0000,0.0000,0.0000,0.0104,0.0000,200,0.0521
0.0098,0.0000,0.0000,0.0000,0.0097,0.0001,200,0.0547
0.0098,0.0000,0.0000,0.0000,0.0098,0.0000,200,0.0548
0.0099,0.0000,0.0000,0.0000,0.0098,0.0000,200,0.0549
0.0124,0.0000,0.0000,0.0000,0.0100,0.0000,200,0.0523
0.0126,0.0000,0.0000,0.0000,0.0100,0.0000,200,0.0522
0.0126,0.0000,0.0000,0.0027,0.0099,0.0000,200,0.0522
